slug,title,platform,metacritic_score,must_play,release_year,genre,metacritic_url,ign_score,ign_url,gamespot_score,gamespot_url,content_status,notes,pcgamer_url,eurogamer_url,nintendolife_url,rockpapershotgun_url,rpgsite_url,adventuregamers_url,nintendoworldreport_url
super-mario-odyssey,Super Mario Odyssey,Nintendo Switch,97,true,2017,,https://www.metacritic.com/game/super-mario-odyssey/,10,https://www.ign.com/articles/2017/10/26/super-mario-odyssey-review,,https://www.gamespot.com/reviews/super-mario-odyssey-review/1900-6416795/,links-collected,Metacritic筛选：≥90 + Must-Play；批次：Nintendo Switch前10,,https://www.eurogamer.net/super-mario-odyssey-review-8,,,,,
the-legend-of-zelda-breath-of-the-wild,The Legend of Zelda: Breath of the Wild,Nintendo Switch,97,true,2017,,https://www.metacritic.com/game/the-legend-of-zelda-breath-of-the-wild/,10,https://www.ign.com/articles/2017/03/02/the-legend-of-zelda-breath-of-the-wild-review,,https://www.gamespot.com/reviews/the-legend-of-zelda-breath-of-the-wild-review/1900-6416626/,links-collected,Metacritic筛选：≥90 + Must-Play；批次：Nintendo Switch前10,,https://www.eurogamer.net/the-legend-of-zelda-breath-of-the-wild-review-7,,,https://www.rpgsite.net/review/5346-the-legend-of-zelda-breath-of-the-wild-review,,
the-legend-of-zelda-tears-of-the-kingdom,The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,96,true,2023,,https://www.metacritic.com/game/the-legend-of-zelda-tears-of-the-kingdom/,10,https://www.ign.com/articles/the-legend-of-zelda-tears-of-the-kingdom-review,,https://www.gamespot.com/reviews/the-legend-of-zelda-tears-of-the-kingdom-review/1900-6418063/,links-collected,Metacritic筛选：≥90 + Must-Play；批次：Nintendo Switch前10,,https://www.eurogamer.net/the-legend-of-zelda-tears-of-the-kingdom-review,,,https://www.rpgsite.net/review/14176-the-legend-of-zelda-tears-of-the-kingdom-review,,
metroid-prime-remastered,Metroid Prime Remastered,Nintendo Switch,94,true,2023,,https://www.metacritic.com/game/metroid-prime-remastered/,10,https://www.ign.com/articles/metroid-prime-remastered-review,,,links-collected,未在GameSpot公开搜索结果中找到该重制版专属评测,,,,,,,
persona-5-royal,Persona 5 Royal,Nintendo Switch,94,true,2022,,https://www.metacritic.com/game/persona-5-royal/,10,https://www.ign.com/articles/persona-5-royal-review,,https://www.gamespot.com/reviews/persona-5-royal-review-hearts-of-gold/1900-6417444/,links-collected,Metacritic筛选：≥90 + Must-Play；批次：Nintendo Switch前10,https://www.pcgamer.com/persona-5-royal-review/,https://www.eurogamer.net/persona-5-royal-review,,,https://www.rpgsite.net/review/9556-persona-5-royal-review,,
tetris-effect-connected,Tetris Effect: Connected,Nintendo Switch,94,true,2021,,https://www.metacritic.com/game/tetris-effect-connected/,8.5,https://www.ign.com/articles/2018/11/09/tetris-effect-review,,https://www.gamespot.com/reviews/tetris-effect-connected-review/1900-6417618/,links-collected,IGN搜索到的是Tetris Effect主评测，未找到Connected专属IGN评测,,https://www.eurogamer.net/tetris-effect-connected-review-pure-multiplayer-joy,,,,,
divinity-original-sin-ii-definitive-edition,Divinity: Original Sin II - Definitive Edition,Nintendo Switch,93,true,2019,,https://www.metacritic.com/game/divinity-original-sin-ii-definitive-edition/,9.6,https://www.ign.com/articles/2018/09/01/divinity-original-sin-2-definitive-edition-review,,https://www.gamespot.com/reviews/divinity-original-sin-2-review/1900-6416769/,links-collected,GameSpot链接为Divinity: Original Sin 2主评测,https://www.pcgamer.com/divinity-original-sin-2-review/,https://www.eurogamer.net/divinity-original-sin-2-review,,https://www.rockpapershotgun.com/divinity-original-sin-2-review,https://www.rpgsite.net/review/7663-divinity-original-sin-ii-definitive-edition-console-review,,
hades,Hades,Nintendo Switch,93,true,2020,,https://www.metacritic.com/game/hades/,9,https://www.ign.com/articles/hades-review,,https://www.gamespot.com/reviews/hades-review-the-long-hard-road-out-of-hell/1900-6417568/,links-collected,Metacritic筛选：≥90 + Must-Play；批次：Nintendo Switch前10,https://www.pcgamer.com/hades-review/,https://www.eurogamer.net/hades-review-of-myth-and-mayhem,,,https://www.rpgsite.net/review/10265-hades-review,,
ori-and-the-will-of-the-wisps,Ori and the Will of the Wisps,Nintendo Switch,93,true,2020,,https://www.metacritic.com/game/ori-and-the-will-of-the-wisps/,9,https://www.ign.com/articles/ori-and-the-will-of-the-wisps-review,,https://www.gamespot.com/reviews/ori-and-the-will-of-the-wisps-review/1900-6417425/,links-collected,Metacritic筛选：≥90 + Must-Play；批次：Nintendo Switch前10,https://www.pcgamer.com/ori-and-the-will-of-the-wisps-review/,,,https://www.rockpapershotgun.com/ori-and-the-will-of-the-wisps-pc-review,,,
super-smash-bros-ultimate,Super Smash Bros. Ultimate,Nintendo Switch,93,true,2018,,https://www.metacritic.com/game/super-smash-bros-ultimate/,9.4,https://www.ign.com/articles/2018/12/06/super-smash-bros-ultimate-review,,https://www.gamespot.com/reviews/super-smash-bros-ultimate-review-me-and-you-and-ev/1900-6417051/,links-collected,Metacritic筛选：≥90 + Must-Play；批次：Nintendo Switch前10,,,,,,,
